artist;song;duration_ms;explicit;year;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;genre
Jennifer Lopez;Love Don't Cost a Thing;221226;FALSO;2001;67;786;842;4;-5.115;0;707;305;3.54e-06;473;685;97.577;hip hop, pop, R&B
Jennifer Lopez;I'm Real (feat. Ja Rule) - Murder Remix;262133;VERDADERO;2001;66;708;587;11;-7.93;0;151;273;0.0;718;554;83.46;hip hop, pop, R&B
Jennifer Lopez;Play;211493;VERDADERO;2001;57;775;729;1;-4.229;0;162;303;247;361;895;104.719;hip hop, pop, R&B
Jennifer Lopez;Ain't It Funny;246160;FALSO;2001;0;707;869;5;-4.525;0;481;104;121;813;621;99.825;hip hop, pop, R&B
Jessica Simpson;Irresistible;194026;FALSO;2001;43;657;965;8;-2.771;0;556;285;8.84e-05;552;669;93.013;pop, R&B
Jimmy Eat World;The Middle;165853;FALSO;2001;78;643;849;2;-5.428;1;526;371;0.0;58;903;162.152;rock, pop
Kylie Minogue;Can't Get You out of My Head;230640;FALSO;2001;73;766;563;9;-7.516;0;339;263;683;115;964;126.007;pop, Dance/Electronic
Kylie Minogue;In Your Eyes;197826;FALSO;2001;62;689;894;6;-6.342;0;672;133;4.72e-05;681;709;123.971;pop, Dance/Electronic
Kylie Minogue;Love at First Sight;238266;FALSO;2001;55;603;774;3;-6.066;0;428;288;51;533;0.48;124.994;pop, Dance/Electronic
Lasgo;Something;220973;FALSO;2001;65;643;981;7;-6.644;0;439;271;8.93e-05;0.11;0.38;140.01;pop
LeAnn Rimes;Can't Fight The Moonlight;215506;FALSO;2001;65;628;834;6;-6.341;0;497;403;0.0;51;626;97.865;pop, country
LeAnn Rimes;I Need You;229826;FALSO;2001;61;478;736;7;-7.124;1;367;0.02;9.58e-05;118;564;144.705;pop, country
Ludacris;Rollout (My Business);296586;VERDADERO;2001;60;921;668;7;-8.73;1;235;949;0.0;592;892;131.059;hip hop, pop
Mariah Carey;Loverboy;229173;FALSO;2001;42;721;790;1;-4.125;1;124;183;0.0;0.1;821;103.141;pop, R&B
Mary J. Blige;Family Affair;265866;FALSO;2001;76;911;551;8;-3.75;0;449;132;4.12e-05;863;969;92.887;pop, R&B
Mary J. Blige;No More Drama;326240;FALSO;2001;61;653;837;6;-6.818;0;124;534;7.12e-05;784;0.64;97.914;pop, R&B
Mary J. Blige;Rainy Dayz;276373;FALSO;2001;32;412;667;6;-6.997;1;229;195;0.0;305;533;68.942;pop, R&B
Michael Jackson;You Rock My World;337733;FALSO;2001;64;854;673;4;-3.132;0;185;38;227;255;955;95.0;pop, R&B
Michelle Branch;All You Wanted;217680;FALSO;2001;60;499;720;8;-9.101;1;286;466;303;122;652;96.103;pop, Folk/Acoustic
Missy Elliott;Get Ur Freak On;211120;VERDADERO;2001;68;797;750;0;-9.369;1;247;533;108;95;0.74;177.87;hip hop, pop, R&B
Missy Elliott;One Minute Man (feat. Ludacris);252986;VERDADERO;2001;57;622;669;9;-8.419;1;329;266;2.97e-06;152;0.57;93.839;hip hop, pop, R&B
Missy Elliott;4 My People (feat. Eve);289373;VERDADERO;2001;49;969;701;1;-7.503;1;156;0.14;161;201;905;121.392;hip hop, pop, R&B
Modjo;Lady - Hear Me Tonight;307153;FALSO;2001;77;0.72;808;6;-5.627;1;379;793;293;634;869;126.041;Dance/Electronic
Nickelback;How You Remind Me;223840;FALSO;2001;78;446;764;10;-5.042;1;33;135;0.0;99;543;172.094;rock, metal
No Doubt;Underneath It All;302720;FALSO;2001;27;729;731;4;-4.822;1;684;232;1.57e-06;391;839;138.202;rock, pop
No Doubt;Hella Good;242586;FALSO;2001;26;771;665;8;-3.954;1;35;135;123;903;844;115.142;rock, pop
No Doubt;Hey Baby;207040;FALSO;2001;24;705;872;11;-3.557;0;125;602;0.0;228;746;93.63;rock, pop
Outkast;The Whole World (feat. Killer Mike);295346;VERDADERO;2001;51;814;852;2;-6.176;1;401;958;1.32e-06;288;717;184.682;hip hop, pop
P!nk;Get the Party Started;192533;FALSO;2001;68;802;903;11;-3.267;0;46;11;0.0;173;0.96;128.93;pop
P!nk;Don't Let Me Get Me - Radio Edit;210693;FALSO;2001;60;624;0.85;0;-4.754;0;756;234;0.0;621;615;98.525;pop
P.O.D.;Youth of the Nation;256240;FALSO;2001;69;563;0.86;8;-7.533;1;621;834;106;0.39;517;97.867;rock, metal
